name,mafe,best_L,best_mu,max_v_baryon,max_v_kernel,max_v_total,kernel_to_baryon_ratio,kernel_active,inner_overshoot,outer_decay
NGC4068,0.780763392628745,50.0,10.0,50.36321640014648,0.006873609032481909,50.36321640014648,0.00013648073978972315,False,False,False
UGC08550,0.8982580769214714,200.0,10.0,84.67536163330078,109.4705541687434,138.39696247461242,1.2928265325021213,True,True,False
UGC05005,0.9509357212946228,200.0,10.0,68.99654388427734,135.45597533787245,148.50657673925568,1.9632284127892325,True,True,True
UGC03205,1.092816659003489,200.0,10.0,198.27005004882807,541.2677345878056,565.2280070546224,2.7299520752353033,True,True,True
DDO154,1.153584128830309,200.0,10.0,69.80603790283203,116.2763850539118,135.62109177301872,1.665706700268036,True,True,True
ESO444-G084,1.1914877621929916,200.0,10.0,46.32509994506836,111.3308881941436,120.39897973964275,2.403251980592771,True,True,False
NGC4138,1.2894858071893478,200.0,10.0,206.95181274414065,843.5993807402766,860.9412018692118,4.0763082456457544,True,True,True
UGC06786,1.307786889659944,200.0,10.0,144.50485229492188,519.946949722744,531.2777173307617,3.59812796224709,True,True,True
NGC2841,1.3710072971608,10.0,10.0,221.55709838867188,1222.672019850969,1234.5558779507303,5.518541399680489,True,True,True
NGC3198,1.3797034618996704,200.0,10.0,150.4821014404297,361.4020111834956,381.4161300645438,2.4016278861347593,True,True,True
UGC04483,1.3925525497502602,50.0,10.0,65.67053985595703,0.010921429842710497,65.67053985595703,0.00016630638131901704,False,False,False
UGC03580,1.3984818001387809,200.0,10.0,106.76644134521484,217.85939754106184,235.7719065148389,2.0405231718517522,True,True,True
PGC51017,1.486131706210505,30.0,10.0,52.14041519165039,0.009226469323039057,52.14041519165039,0.00017695427412930452,False,False,False
UGC08490,1.4950980880248723,200.0,10.0,95.40482330322264,411.0933377578231,422.01873468720873,4.308936629453796,True,True,True
NGC0024,1.5689781191626262,200.0,10.0,78.0073013305664,229.606089020606,239.18432876561369,2.9433922864171316,True,True,True
CamB,1.582637913843352,50.0,10.0,37.13937759399414,0.005700314417481422,37.13937759399414,0.00015348438198929936,False,False,False
UGC06614,1.6445638668699771,200.0,10.0,184.7828826904297,563.7949478504064,582.9059913262946,3.051121075943722,True,True,True
NGC2403,1.673293955267162,200.0,10.0,133.88973999023435,424.1023948115532,439.29944504598114,3.167549618383652,True,True,True
UGC02455,1.7244718703348858,10.0,10.0,98.73564147949217,0.02379567362368107,98.73564147949217,0.0002410038894477992,False,False,False
UGC02953,2.070730262617949,120.0,10.0,255.2012176513672,1043.9029032011852,1062.537150923728,4.0905091002632705,True,True,True
NGC1705,2.455278185885456,200.0,10.0,116.34809112548828,405.51657381204296,421.8774342933568,3.4853736738548586,True,True,True
NGC2915,3.08784406551125,200.0,10.0,95.50212097167967,680.8356648734448,687.5011693350806,7.129010936577426,True,True,True
UGC05721,3.478806388646797,200.0,10.0,136.93141174316406,468.38599464255145,487.99144553443995,3.42058837106771,True,True,True
NGC3741,11.103593062139542,200.0,10.0,106.16349792480467,756.773448515534,764.183708838821,7.128377109913567,True,True,True
