Galaxy,Regime,mond_variant,sigma_baseline,n_inner_points,inner_region_defined,perturbation_label,delta_sigma,V_bar_over_V_MOND_inner_median,notes,max_abs_delta_sigma
NGC3521,baryon-dom,Ydisk,0.024266,37,Y,Ydisk_m20,0.036421,0.8974,,0.045619
NGC3521,baryon-dom,combined,0.024266,37,Y,both_p10,-0.011095,0.8974,,0.045619
NGC3521,baryon-dom,combined,0.024266,37,Y,both_m10,0.020868,0.8974,,0.045619
NGC3521,baryon-dom,combined,0.024266,37,Y,both_p20,-0.001089,0.8974,,0.045619
NGC3521,baryon-dom,combined,0.024266,37,Y,both_m20,0.045619,0.8974,,0.045619
NGC3992,baryon-dom,g_dag,0.02285,4,Y,gdag_p10,0.004418,0.7661,,0.032118
NGC3992,baryon-dom,g_dag,0.02285,4,Y,gdag_m10,-0.003383,0.7661,,0.032118
NGC3992,baryon-dom,g_dag,0.02285,4,Y,gdag_p20,0.009196,0.7661,,0.032118
NGC3992,baryon-dom,g_dag,0.02285,4,Y,gdag_m20,-0.004525,0.7661,,0.032118
NGC3992,baryon-dom,Ydisk,0.02285,4,Y,Ydisk_p10,0.009551,0.7661,,0.032118
NGC3992,baryon-dom,Ydisk,0.02285,4,Y,Ydisk_m10,-0.002866,0.7661,,0.032118
NGC3992,baryon-dom,Ydisk,0.02285,4,Y,Ydisk_p20,0.020625,0.7661,,0.032118
NGC3992,baryon-dom,Ydisk,0.02285,4,Y,Ydisk_m20,0.005645,0.7661,,0.032118
NGC3992,baryon-dom,combined,0.02285,4,Y,both_p10,0.015166,0.7661,,0.032118
NGC3992,baryon-dom,combined,0.02285,4,Y,both_m10,-0.001025,0.7661,,0.032118
NGC3992,baryon-dom,combined,0.02285,4,Y,both_p20,0.032118,0.7661,,0.032118
NGC3992,baryon-dom,combined,0.02285,4,Y,both_m20,0.01755,0.7661,,0.032118
UGC03580,balanced,g_dag,0.09707,39,Y,gdag_p10,-0.002951,0.67,,0.01677
UGC03580,balanced,g_dag,0.09707,39,Y,gdag_m10,0.003775,0.67,,0.01677
UGC03580,balanced,g_dag,0.09707,39,Y,gdag_p20,-0.005196,0.67,,0.01677
UGC03580,balanced,g_dag,0.09707,39,Y,gdag_m20,0.008523,0.67,,0.01677
UGC03580,balanced,Ydisk,0.09707,39,Y,Ydisk_p10,-0.001641,0.67,,0.01677
UGC03580,balanced,Ydisk,0.09707,39,Y,Ydisk_m10,0.002429,0.67,,0.01677
UGC03580,balanced,Ydisk,0.09707,39,Y,Ydisk_p20,-0.00259,0.67,,0.01677
UGC03580,balanced,Ydisk,0.09707,39,Y,Ydisk_m20,0.005752,0.67,,0.01677
UGC03580,balanced,combined,0.09707,39,Y,both_p10,-0.003974,0.67,,0.01677
UGC03580,balanced,combined,0.09707,39,Y,both_m10,0.006834,0.67,,0.01677
UGC03580,balanced,combined,0.09707,39,Y,both_p20,-0.005405,0.67,,0.01677
UGC03580,balanced,combined,0.09707,39,Y,both_m20,0.01677,0.67,,0.01677
UGC06983,balanced,g_dag,0.045081,7,Y,gdag_p10,0.001303,0.5815,,0.017247
UGC06983,balanced,g_dag,0.045081,7,Y,gdag_m10,0.000301,0.5815,,0.017247
UGC06983,balanced,g_dag,0.045081,7,Y,gdag_p20,0.00374,0.5815,,0.017247
UGC06983,balanced,g_dag,0.045081,7,Y,gdag_m20,0.00267,0.5815,,0.017247
UGC06983,balanced,Ydisk,0.045081,7,Y,Ydisk_p10,0.003161,0.5815,,0.017247
UGC06983,balanced,Ydisk,0.045081,7,Y,Ydisk_m10,-1.6e-05,0.5815,,0.017247
UGC06983,balanced,Ydisk,0.045081,7,Y,Ydisk_p20,0.008296,0.5815,,0.017247
UGC06983,balanced,Ydisk,0.045081,7,Y,Ydisk_m20,0.004076,0.5815,,0.017247
UGC06983,balanced,combined,0.045081,7,Y,both_p10,0.006249,0.5815,,0.017247
UGC06983,balanced,combined,0.045081,7,Y,both_m10,0.002786,0.5815,,0.017247
UGC06983,balanced,combined,0.045081,7,Y,both_p20,0.017247,0.5815,,0.017247
UGC06983,balanced,combined,0.045081,7,Y,both_m20,0.015895,0.5815,,0.017247
NGC5055,balanced,g_dag,0.072196,18,Y,gdag_p10,0.005146,0.8552,,0.046882
NGC5055,balanced,g_dag,0.072196,18,Y,gdag_m10,-0.005408,0.8552,,0.046882
NGC5055,balanced,g_dag,0.072196,18,Y,gdag_p20,0.010038,0.8552,,0.046882
NGC5055,balanced,g_dag,0.072196,18,Y,gdag_m20,-0.011074,0.8552,,0.046882
NGC5055,balanced,Ydisk,0.072196,18,Y,Ydisk_p10,0.015323,0.8552,,0.046882
NGC5055,balanced,Ydisk,0.072196,18,Y,Ydisk_m10,-0.016642,0.8552,,0.046882
NGC5055,balanced,Ydisk,0.072196,18,Y,Ydisk_p20,0.02951,0.8552,,0.046882
NGC5055,balanced,Ydisk,0.072196,18,Y,Ydisk_m20,-0.034759,0.8552,,0.046882
NGC5055,balanced,combined,0.072196,18,Y,both_p10,0.020267,0.8552,,0.046882
NGC5055,balanced,combined,0.072196,18,Y,both_m10,-0.0223,0.8552,,0.046882
NGC5055,balanced,combined,0.072196,18,Y,both_p20,0.038817,0.8552,,0.046882
NGC5055,balanced,combined,0.072196,18,Y,both_m20,-0.046882,0.8552,,0.046882
UGC07608,balanced,g_dag,0.099929,4,Y,gdag_p10,-0.001507,0.398,,0.011778
UGC07608,balanced,g_dag,0.099929,4,Y,gdag_m10,0.002652,0.398,,0.011778
UGC07608,balanced,g_dag,0.099929,4,Y,gdag_p20,-0.002097,0.398,,0.011778
UGC07608,balanced,g_dag,0.099929,4,Y,gdag_m20,0.006731,0.398,,0.011778
UGC07608,balanced,Ydisk,0.099929,4,Y,Ydisk_p10,-0.00038,0.398,,0.011778
UGC07608,balanced,Ydisk,0.099929,4,Y,Ydisk_m10,0.000846,0.398,,0.011778
UGC07608,balanced,Ydisk,0.099929,4,Y,Ydisk_p20,-0.00036,0.398,,0.011778
UGC07608,balanced,Ydisk,0.099929,4,Y,Ydisk_m20,0.002234,0.398,,0.011778
UGC07608,balanced,combined,0.099929,4,Y,both_p10,-0.001255,0.398,,0.011778
UGC07608,balanced,combined,0.099929,4,Y,both_m10,0.004191,0.398,,0.011778
UGC07608,balanced,combined,0.099929,4,Y,both_p20,-0.000104,0.398,,0.011778
UGC07608,balanced,combined,0.099929,4,Y,both_m20,0.011778,0.398,,0.011778
UGC02259,balanced,g_dag,0.06141,3,Y,gdag_p10,-0.006812,0.5923,,0.042701
UGC02259,balanced,g_dag,0.06141,3,Y,gdag_m10,0.007813,0.5923,,0.042701
UGC02259,balanced,g_dag,0.06141,3,Y,gdag_p20,-0.012685,0.5923,,0.042701
UGC02259,balanced,g_dag,0.06141,3,Y,gdag_m20,0.016741,0.5923,,0.042701
